file,Libpressio-predict,Pressio
CLOUDf48.bin.f32,9.74026,159.072
CLOUDf48.log10.bin.f32,10.1405,40.689
PRECIPf48.bin.f32,5.87515,403.052
PRECIPf48.log10.bin.f32,3.96507,33.7014
Pf48.bin.f32,5.16173,338.032
QCLOUDf48.bin.f32,19.9654,225.085
QCLOUDf48.log10.bin.f32,20.2592,71.2116
QGRAUPf48.bin.f32,6.86844,1082.01
QGRAUPf48.log10.bin.f32,3.78342,24.3622
QICEf48.bin.f32,18.51,294.629
QICEf48.log10.bin.f32,18.3314,57.9097
QRAINf48.bin.f32,5.4402,597.514
QRAINf48.log10.bin.f32,3.42544,20.378
QSNOWf48.bin.f32,5.33748,320.209
QSNOWf48.log10.bin.f32,4.12987,25.9318
QVAPORf48.bin.f32,3.41384,68.5648
TCf48.bin.f32,4.01903,282.131
Uf48.bin.f32,4.22559,117.552
Vf48.bin.f32,4.56906,123.807
Wf48.bin.f32,3.09788,113.052
