file,Libpressio-predict,Pressio
CLOUDf48.bin.f32,532,290
CLOUDf48.log10.bin.f32,509,394
PRECIPf48.bin.f32,507,273
PRECIPf48.log10.bin.f32,533,335
Pf48.bin.f32,501,254
QCLOUDf48.bin.f32,495,281
QCLOUDf48.log10.bin.f32,527,348
QGRAUPf48.bin.f32,501,269
QGRAUPf48.log10.bin.f32,517,368
QICEf48.bin.f32,523,279
QICEf48.log10.bin.f32,502,354
QRAINf48.bin.f32,538,271
QRAINf48.log10.bin.f32,624,380
QSNOWf48.bin.f32,615,279
QSNOWf48.log10.bin.f32,1768,364
QVAPORf48.bin.f32,1748,335
TCf48.bin.f32,1030,253
Uf48.bin.f32,500,272
Vf48.bin.f32,501,264
Wf48.bin.f32,535,295
