file,compression_time,compression_ratio
CLOUDf48.bin.f32,532,9.74026
CLOUDf48.log10.bin.f32,509,10.1405
PRECIPf48.bin.f32,507,5.87515
PRECIPf48.log10.bin.f32,533,3.96507
Pf48.bin.f32,501,5.16173
QCLOUDf48.bin.f32,495,19.9654
QCLOUDf48.log10.bin.f32,527,20.2592
QGRAUPf48.bin.f32,501,6.86844
QGRAUPf48.log10.bin.f32,517,3.78342
QICEf48.bin.f32,523,18.51
QICEf48.log10.bin.f32,502,18.3314
QRAINf48.bin.f32,538,5.4402
QRAINf48.log10.bin.f32,624,3.42544
QSNOWf48.bin.f32,615,5.33748
QSNOWf48.log10.bin.f32,1768,4.12987
QVAPORf48.bin.f32,1748,3.41384
TCf48.bin.f32,1030,4.01903
Uf48.bin.f32,500,4.22559
Vf48.bin.f32,501,4.56906
Wf48.bin.f32,535,3.09788
