file,compression_ratio,compress_time_ms
CLOUDf48.bin.f32,159.072,290
CLOUDf48.log10.bin.f32,40.689,394
PRECIPf48.bin.f32,403.052,273
PRECIPf48.log10.bin.f32,33.7014,335
Pf48.bin.f32,338.032,254
QCLOUDf48.bin.f32,225.085,281
QCLOUDf48.log10.bin.f32,71.2116,348
QGRAUPf48.bin.f32,1082.01,269
QGRAUPf48.log10.bin.f32,24.3622,368
QICEf48.bin.f32,294.629,279
QICEf48.log10.bin.f32,57.9097,354
QRAINf48.bin.f32,597.514,271
QRAINf48.log10.bin.f32,20.378,380
QSNOWf48.bin.f32,320.209,279
QSNOWf48.log10.bin.f32,25.9318,364
QVAPORf48.bin.f32,68.5648,335
TCf48.bin.f32,282.131,253
Uf48.bin.f32,117.552,272
Vf48.bin.f32,123.807,264
Wf48.bin.f32,113.052,295
